objID,usno_b1_id,USNORa,USNODec,PannRa,PannDec,red1mag,red2mag,blue1mag,blue2mag,pmRa,pmDec,diff,indexData
131232241628723457,1093-0229951,224.15937,19.36081,224.16293,19.36079,?,?,20.98,?,0,0,0.00356,637
131592239889456381,1096-0230364,223.98884,19.66597,223.98892,19.66319,?,20.30,?,21.48,0,0,0.00278,638
131552230203649466,1096-0229458,223.02211,19.63435,223.02038,19.63244,19.83,18.97,?,20.62,246,118,0.00258,639
130072236847818446,1083-0251594,223.68862,18.39004,223.68478,18.39828,?,20.01,20.62,?,0,0,0.00909,640
131782238276804696,1098-0231703,223.83126,19.82026,223.82776,19.8203,?,18.92,?,21.77,0,0,0.0035,641
131202244807375979,1093-0230273,224.47779,19.33717,224.48044,19.33788,?,?,20.45,?,0,0,0.00274,642
131422232524057327,1095-0229988,223.24899,19.52024,223.2524,19.52245,?,?,21.14,?,0,0,0.00406,643
129932238044547124,1082-0261165,223.80404,18.2833,223.80443,18.28048,?,19.76,?,21.70,0,0,0.00285,644
131682237421119132,1097-0230887,223.74656,19.74221,223.7422,19.74064,?,19.83,?,20.10,0,0,0.00463,645
131332234903906602,1094-0228135,223.49972,19.44041,223.49039,19.44673,19.96,20.63,20.68,?,356,298,0.01127,646
130372243322461802,1086-0234720,224.32814,18.63953,224.33202,18.6427,20.04,?,?,21.54,0,0,0.00501,647
131162230523906159,1093-0228708,223.05923,19.3088,223.0523,19.30473,?,?,21.00,?,0,0,0.00804,648
131842233289571044,1098-0231250,223.32227,19.86182,223.32894,19.86712,?,?,?,20.02,0,0,0.00852,649
129802239644594795,1081-0266306,223.96741,18.16994,223.9644,18.17018,?,19.91,20.88,21.56,646,-178,0.00302,650
131272247268890208,1093-0230479,224.72772,19.39257,224.7269,19.39139,19.48,?,20.58,21.30,222,334,0.00144,651
130922247495260767,1091-0232478,224.74829,19.10136,224.74957,19.10021,19.19,18.97,20.57,20.84,0,0,0.00172,652
130262242019565220,1085-0233666,224.20497,18.55523,224.20203,18.55401,19.19,19.23,?,?,-20,-234,0.00318,653
131342230944017318,1094-0227739,223.09623,19.45521,223.09434,19.45571,19.05,20.32,?,21.32,0,0,0.00196,654
130882231533892059,1090-0231458,223.15142,19.0698,223.1534,19.06785,17.24,?,20.13,18.26,-16,318,0.00278,655
130742233565597937,1089-0232195,223.35894,18.95417,223.35658,18.95617,?,?,?,21.41,0,0,0.00309,656
130382230717340482,1086-0233394,223.07742,18.65322,223.07166,18.64998,?,18.85,?,?,0,0,0.00661,657
129912240295295532,1082-0261387,224.02631,18.24673,224.02947,18.26251,?,?,20.52,21.93,236,202,0.01609,658
130882237973227366,1090-0232145,223.79556,19.07322,223.79734,19.07234,18.92,20.31,?,?,0,0,0.00199,659
131872233537315366,1098-0231301,223.35967,19.89611,223.35375,19.89569,?,?,?,21.68,0,0,0.00593,660
129952238170270014,1082-0261171,223.81607,18.29699,223.81698,18.29121,19.60,?,?,?,0,0,0.00585,661
130532244460346738,1087-0233213,224.44865,18.78124,224.44596,18.78012,?,?,19.65,20.12,0,0,0.00291,662
129892240619366321,1082-0261419,224.05868,18.24026,224.06202,18.2465,?,?,21.00,?,0,0,0.00708,663
129882233605741812,1082-0260786,223.36398,18.23583,223.36061,18.23445,?,19.89,?,20.87,0,0,0.00364,664
130102243690190285,1084-0241483,224.36774,18.4126,224.36898,18.4164,?,?,21.00,18.86,0,0,0.004,665
130092243993147061,1084-0241525,224.40239,18.41725,224.39933,18.41373,19.74,19.91,0,0,-22,22,0.00466,666
131782233828297811,1098-0231315,223.3814,19.82299,223.38283,19.82268,19.82,20.34,?,21.21,-388,4,0.00146,667
130932242293549070,1091-0231975,224.22857,19.11781,224.22937,19.11543,19.73,20.34,21.07,21.50,0,0,0.00251,668
130502245941097959,1087-0233312,224.59036,18.75035,224.59398,18.75614,?,20.94,21.14,?,0,0,0.00683,669
130392233870594468,1086-0233676,223.38561,18.66227,223.38713,18.66161,15.67,19.16,?,18.03,-238,-40,0.00166,670
131552233070253715,1096-0229790,223.3171,19.62787,223.30707,19.62763,19.28,?,?,?,0,0,0.01003,671
130982233125814930,1091-0230872,223.31314,19.15218,223.31255,19.15361,?,16.55,?,17.43,-536,222,0.00155,672
130982233847520042,1091-0231020,223.38695,19.15258,223.3849,19.1496,?,19.65,?,17.90,0,0,0.00362,673
130042235613556913,1083-0251454,223.56225,18.37622,223.56143,18.37203,19.66,?,21.01,?,0,0,0.00427,674
129652243623605964,1080-0267095,224.35948,18.04526,224.36253,18.04626,?,?,21.11,20.44,0,0,0.00321,675
129672236471684574,1080-0266305,223.64437,18.06182,223.64714,18.0617,17.31,20.33,?,?,0,0,0.00277,676
130262230186631127,1085-0232373,223.02985,18.55576,223.01865,18.55056,?,?,21.01,21.60,0,0,0.01235,677
131222240024747741,1093-0229740,224.00039,19.35627,224.00245,19.35605,17.49,?,18.78,?,0,0,0.00207,678
130372236310441746,1086-0233946,223.63049,18.64599,223.63118,18.64265,?,18.27,?,18.13,-628,-340,0.00341,679
131832232974497977,1098-0231223,223.29981,19.86259,223.29744,19.86453,?,20.17,21.06,?,-674,412,0.00306,680
130212234808427291,1085-0232860,223.48245,18.51347,223.48095,18.5139,?,20.33,20.38,?,0,0,0.00156,681
131782243390532210,1098-0232325,224.33992,19.82035,224.33902,19.81806,18.90,?,?,?,0,0,0.00246,682
130572230872625099,1088-0231216,223.08976,18.81372,223.08721,18.81206,19.96,20.11,?,?,0,0,0.00304,683
130232248413639702,1085-0234246,224.84143,18.53616,224.84135,18.53257,19.28,?,?,?,0,0,0.00359,684
129852241425862528,1082-0261525,224.14447,18.20568,224.14258,18.21,?,19.87,?,?,0,0,0.00472,685
129962242218028365,1083-0252098,224.22323,18.30695,224.22178,18.30651,?,20.05,?,?,0,0,0.00152,686
130352242185173906,1086-0234607,224.21274,18.62884,224.21848,18.62779,19.84,?,?,?,0,0,0.00584,687
131822248825366933,1098-0232835,224.88206,19.85381,224.8825,19.85526,18.76,?,20.64,21.37,-124,-428,0.00152,688
131642248527590674,1096-0231203,224.85289,19.69684,224.85267,19.70006,?,19.91,19.53,?,0,0,0.00323,689
131552245250726472,1096-0230903,224.52275,19.6316,224.52523,19.62993,18.92,?,?,19.95,-266,296,0.00299,690
129772233100631837,1081-0265678,223.30891,18.14977,223.31012,18.14275,18.93,20.10,?,?,-14,-192,0.00712,691
130142234029561323,1084-0240386,223.40728,18.45318,223.40294,18.45065,?,19.78,21.10,?,0,0,0.00502,692
129642237484165299,1080-0266427,223.74866,18.03868,223.74839,18.03733,?,9.33,?,10.03,0,0,0.00138,693
129982241685742635,1083-0252037,224.16944,18.31741,224.16854,18.31861,19.78,?,?,?,0,0,0.0015,694
130502246539924939,1087-0233368,224.65042,18.75374,224.65385,18.75366,?,20.37,?,21.26,0,0,0.00343,695
130232248880477506,1085-0234285,224.88913,18.53259,224.88808,18.53086,?,?,?,21.60,0,0,0.00202,696
131262234642658313,1093-0229135,223.46565,19.39121,223.46426,19.38981,19.41,?,?,20.55,0,0,0.00197,697
130952232141625028,1091-0230746,223.21414,19.13302,223.21422,19.12873,19.76,?,?,?,0,0,0.00429,698
131912242094606201,1099-0232496,224.21073,19.93157,224.20948,19.92976,?,17.30,19.89,18.10,0,0,0.0022,699
131352241616994388,1094-0228764,224.1614,19.45827,224.1617,19.46153,?,20.27,16.57,?,-480,-64,0.00327,700
129822241394320968,1081-0266515,224.13819,18.19133,224.13954,18.18371,19.52,?,?,?,0,0,0.00774,701
130732234315619656,1089-0232262,223.43046,18.95028,223.43157,18.94928,?,20.47,?,22.04,0,0,0.00149,702
130872241038520934,1090-0232446,224.10942,19.06394,224.10383,19.05872,19.65,?,?,21.30,0,0,0.00765,703
131902240028915511,1099-0232206,224.00755,19.92042,224.00287,19.92078,?,?,21.04,21.69,0,0,0.00469,704
131692240211824572,1097-0231125,224.02032,19.7471,224.02119,19.745,?,?,?,19.64,0,0,0.00227,705
131612239980708332,1096-0230383,224.00442,19.68043,223.99806,19.68151,19.65,20.96,20.95,?,-188,-380,0.00645,706
130482237493854076,1087-0232477,223.74988,18.73216,223.74932,18.7363,?,20.37,?,21.86,0,0,0.00418,707
131502231379169401,1095-0229855,223.13691,19.59708,223.13793,19.59085,?,?,20.66,19.81,0,0,0.00631,708
131622242027598567,1096-0230543,224.20004,19.68956,224.20275,19.69004,19.42,20.76,?,?,22,8,0.00275,709
131672243196203687,1097-0231438,224.31496,19.72318,224.31956,19.72764,19.86,?,?,20.47,0,0,0.00641,710
131202237842995643,1093-0229498,223.78397,19.33932,223.78427,19.33761,?,20.44,20.78,?,0,0,0.00174,711
131592243380008130,1096-0230673,224.33641,19.66509,224.33796,19.66469,?,17.01,20.51,17.31,-274,104,0.0016,712
131592247637867274,1096-0231110,224.76282,19.66633,224.76372,19.66396,?,?,21.09,21.99,0,0,0.00254,713
131042233002007513,1092-0229460,223.30173,19.20428,223.30018,19.2059,?,?,20.63,?,0,0,0.00224,714
131952240767006403,1099-0232297,224.07691,19.96176,224.07671,19.96319,?,20.16,21.08,21.61,108,-650,0.00144,715
130012235459765909,1083-0251427,223.54512,18.34744,223.54601,18.34619,?,?,20.29,?,0,0,0.00153,716
130712242850911853,1089-0233232,224.28743,18.92796,224.28508,18.92608,19.74,?,?,?,0,0,0.00301,717
131762231362272220,1098-0230966,223.13116,19.80453,223.13628,19.80137,?,?,21.12,20.02,0,0,0.00602,718
131512243553776534,1096-0230719,224.35696,19.60002,224.35537,19.59667,?,?,20.60,19.49,0,0,0.00371,719
131532238422505858,1096-0230247,223.84095,19.61434,223.84216,19.61287,?,?,21.06,?,0,0,0.0019,720
130252234325640345,1085-0232788,223.42949,18.54088,223.4326,18.54147,?,?,20.54,?,0,0,0.00317,721
130852231969222445,1090-0231556,223.19383,19.04115,223.19693,19.04325,?,19.98,?,21.24,0,0,0.00374,722
130082241934365077,1084-0241285,224.19429,18.40751,224.19332,18.40386,?,?,19.77,21.71,0,0,0.00378,723
130602237262796068,1088-0231799,223.72788,18.83747,223.72635,18.83777,18.63,?,?,?,0,0,0.00156,724
130942233507046885,1091-0230957,223.34979,19.12393,223.35073,19.122,17.65,?,20.13,19.60,-404,-38,0.00215,725
131222241801070232,1093-0229971,224.17904,19.34879,224.1801,19.34973,18.86,20.93,?,21.56,-166,-646,0.00142,726
129882233114750279,1082-0260671,223.31726,18.23399,223.31144,18.23307,?,20.41,20.87,?,-148,-402,0.00589,727
129742237997734407,1081-0266124,223.7996,18.11811,223.79975,18.11989,17.29,?,?,16.83,44,-10,0.00179,728
131932244330123874,1099-0232742,224.43152,19.94497,224.43296,19.94444,18.16,17.98,18.32,17.62,0,0,0.00153,729
131812238592196542,1098-0231740,223.85547,19.84701,223.85924,19.84664,?,20.54,20.86,?,0,0,0.00379,730
131092232852538852,1092-0229433,223.28551,19.25014,223.28525,19.2486,?,?,21.12,?,0,0,0.00156,731
130482231363246476,1087-0231901,223.14101,18.73898,223.13632,18.73827,?,20.08,?,19.74,0,0,0.00474,732
130392246942803406,1086-0235092,224.69289,18.66393,224.69432,18.66077,19.09,?,21.08,?,0,0,0.00347,733
129882236142707810,1082-0260991,223.61286,18.23973,223.61428,18.23946,19.80,20.94,?,21.56,-492,12,0.00145,734
131522234888502328,1096-0229949,223.4905,19.60004,223.48882,19.60154,19.89,?,20.83,?,-304,-168,0.00225,735
130882231490260076,1090-0231448,223.14691,19.06534,223.14899,19.06627,17.98,?,?,19.62,0,0,0.00228,736
131602243398352433,1096-0230683,224.33862,19.6691,224.33991,19.66818,?,8.27,16.88,9.03,0,0,0.00158,737
131082230108898672,1092-0229062,223.00415,19.24307,223.01087,19.24007,19.85,?,?,21.45,0,0,0.00736,738
129642247252802068,1080-0267446,224.72672,18.03072,224.72528,18.03452,19.74,?,20.57,?,0,0,0.00406,739
130582231046911183,1088-0231225,223.10472,18.82195,223.10456,18.81719,19.83,?,21.14,?,0,0,0.00476,740
129952239790551084,1082-0261326,223.98129,18.29988,223.97905,18.29216,19.81,19.89,?,20.91,50,-70,0.00804,741
130702230800591708,1089-0231861,223.07953,18.92334,223.08008,18.91759,20.05,?,?,21.80,0,0,0.00578,742
130482231363246476,1087-0231886,223.13512,18.73427,223.13632,18.73827,19.03,19.68,?,17.88,38,52,0.00418,743
131692240174767359,1097-0231117,224.01884,19.74523,224.01744,19.74729,17.30,17.42,?,?,0,0,0.00249,744
131302237248910582,1094-0228340,223.72393,19.41232,223.72484,19.4167,19.99,20.97,?,?,0,0,0.00447,745
130082231747428276,1084-0240087,223.17174,18.40563,223.17469,18.40643,?,19.05,?,19.46,0,0,0.00306,746
130742232022323690,1089-0231996,223.20162,18.95729,223.20225,18.95262,19.63,?,20.95,?,0,0,0.00471,747
129872233543356343,1082-0260770,223.35927,18.23525,223.35429,18.22982,?,18.32,20.73,18.57,28,-56,0.00737,748
131902230528475645,1099-0231172,223.05418,19.92033,223.05284,19.92091,18.82,?,20.98,?,0,0,0.00146,749
131832246802507245,1098-0232636,224.68481,19.86034,224.68015,19.86386,19.37,20.45,?,?,0,0,0.00584,750
130472231205878516,1087-0231853,223.12518,18.72679,223.12053,18.73165,?,19.38,?,20.29,0,0,0.00673,751
130962233457650252,1091-0230922,223.34836,19.13243,223.34585,19.13302,?,17.12,?,18.48,-714,442,0.00258,752
130072231582941871,1083-0251016,223.15214,18.39061,223.15827,18.39276,19.79,?,21.14,?,0,0,0.0065,753
131862234066036298,1098-0231323,223.40093,19.88832,223.40659,19.88813,?,18.67,?,?,0,0,0.00566,754
130942231270869999,1091-0230634,223.12462,19.12134,223.12711,19.12454,?,?,?,22.01,0,0,0.00405,755
131582240661473045,1096-0230442,224.06852,19.65052,224.06616,19.65217,18.36,?,?,21.33,0,0,0.00288,756
129692238012585211,1080-0266492,223.79948,18.08361,223.8012,18.0789,?,?,20.64,19.83,0,0,0.00501,757
131472237908973906,1095-0230501,223.78303,19.56419,223.79085,19.56111,18.97,?,21.06,?,0,0,0.0084,758
131212238507573038,1093-0229568,223.84627,19.3498,223.8507,19.34376,19.84,?,?,21.56,0,0,0.00749,759
129872237810402875,1082-0261148,223.783,18.23199,223.78099,18.22694,19.68,?,?,?,0,0,0.00544,760
130902231558783763,1090-0231469,223.15967,19.08604,223.15581,19.08601,?,20.72,?,21.45,0,0,0.00386,761
129782237138047370,1081-0266040,223.71369,18.15327,223.7138,18.15566,19.71,20.37,?,21.06,-60,-898,0.00239,762
130032241287176445,1083-0251999,224.13631,18.3615,224.12877,18.36328,19.93,?,?,?,0,0,0.00775,763
129622241159178990,1080-0266856,224.11353,18.02456,224.11584,18.02363,?,?,21.01,?,0,0,0.00249,764
129972246987515643,1083-0252530,224.70036,18.31124,224.69865,18.31254,20.03,?,20.96,?,-194,8,0.00215,765
130012234774969656,1083-0251351,223.47739,18.35184,223.47751,18.34927,?,20.74,19.81,?,0,0,0.00257,766
